Timestamp,Open,High,Low,Close,Volume_(GLD),Volume_(Currency),Weighted_Price
725673600,332.6,333.7,332.3,333.3,1760,"586,608",333.3
725760000,333.3,333.5,333,329.1,20180,"6,721,958",333.1
726105600,329.1,329.4,326.5,329,14850,"4,876,740",328.4
726192000,329,329.5,328.5,329.6,20380,"6,705,020",329
726278400,329.6,330.4,329.2,329,18110,"5,978,111",330.1
726364800,329,329.7,328.4,328.9,7850,"2,582,650",329
726451200,328.9,329.8,328.8,328.8,14630,"4,820,585",329.5
726710400,328.8,328.9,326.9,329,22730,"7,450,894",327.8
726796800,329,330.7,328.1,327.3,25760,"8,469,888",328.8
726883200,327.3,328.5,326.3,328.2,13290,"4,353,804",327.6
726969600,328.2,328.5,326.9,327.3,9980,"3,266,454",327.3
727056000,327.3,328,326.9,327,7340,"2,400,180",327
727315200,327,328.2,326.9,328.8,12870,"4,221,360",328
727401600,328.8,329.4,328.4,328.4,21210,"6,969,606",328.6
727488000,328.4,330.4,328.2,329.8,15820,"5,217,436",329.8
727574400,329.8,330.3,328.9,329.3,15450,"5,087,685",329.3
727660800,329.3,329.7,328.5,328.5,11600,"3,811,760",328.6
727920000,328.5,329.1,328.2,329.4,33650,"11,064,120",328.8
728006400,329.4,331.5,329.3,330.6,17050,"5,645,255",331.1
728092800,330.6,331,329.8,330.5,18420,"6,076,758",329.9
728179200,330.5,331.2,330.4,332.6,16250,"5,380,375",331.1
728265600,332.6,333,330.6,330.2,7990,"2,642,293",330.7
728524800,330.2,331.2,330.1,330.1,10440,"3,452,508",330.7
728611200,330.1,331.1,330,330.1,19270,"6,370,662",330.6
728697600,330.1,330.2,329.1,328.9,14620,"4,817,290",329.5
728784000,328.9,329.3,328.5,328.7,5720,"1,883,024",329.2
728870400,328.7,329.3,328.6,328.3,10720,"3,525,808",328.9
729129600,328.3,329.4,328.3,329.1,12180,"4,008,438",329.1
729216000,329.1,329.8,329,330.4,46350,"15,276,960",329.6
729302400,330.4,333.8,330.3,334.3,23420,"7,815,254",333.7
729388800,334.3,334.6,332.2,331.7,24050,"8,001,435",332.7
729475200,331.7,331.8,328.8,330.9,30670,"10,121,100",330
729820800,330.9,334.4,330.5,332.7,19080,"6,361,272",333.4
729907200,332.7,332.9,330.8,329.9,23720,"7,863,180",331.5
729993600,329.9,332.8,329.8,332,13280,"4,402,320",331.5
730080000,332,332.5,330.8,330.1,29440,"9,744,640",331
730339200,330.1,332,328.7,330.4,21950,"7,217,160",328.8
730425600,330.4,331.9,330.2,331.2,17240,"5,716,784",331.6
730512000,331.2,332.2,330.1,330.8,8900,"2,940,560",330.4
730598400,330.8,331.4,330.3,329.1,20840,"6,889,704",330.6
730684800,329.1,329.8,327.8,329.5,6470,"2,129,277",329.1
730944000,329.5,329.8,329.1,330,9880,"3,253,484",329.3
731030400,330,330.7,329.6,330.5,9930,"3,281,865",330.5
731116800,330.5,330.9,329.5,329.1,12080,"3,982,776",329.7
731203200,329.1,329.7,328.3,330.7,15730,"5,184,608",329.6
731289600,330.7,331.3,330.2,329.3,33090,"10,932,936",330.4
731548800,329.3,329.5,327,327.6,24490,"8,025,373",327.7
731635200,327.6,328.2,326.6,326.9,14530,"4,754,216",327.2
731721600,326.9,327.5,325.8,327.2,20170,"6,593,573",326.9
731808000,327.2,328,326.8,327.1,21800,"7,141,680",327.6
731894400,327.1,329,327,328.8,25030,"8,222,355",328.5
732153600,328.8,330.5,328.5,329.6,12990,"4,284,102",329.8
732240000,329.6,330,328.7,329.4,9520,"3,137,792",329.6
732326400,329.4,330.1,329,330,28730,"9,472,281",329.7
732412800,330,331.7,329.9,332.1,18310,"6,064,272",331.2
732499200,332.1,332.9,331.7,333.3,23730,"7,885,479",332.3
732758400,333.3,333.9,332.4,332.2,17410,"5,802,753",333.3
732844800,332.2,332.8,332,331.6,20010,"6,649,323",332.3
732931200,331.6,332.9,331,333.3,21180,"7,046,586",332.7
733017600,333.3,333.8,332,333,9040,"3,008,512",332.8
733104000,333,333.4,332.3,331.4,12020,"3,996,650",332.5
733363200,331.4,332.5,331.2,336.3,13310,"4,421,582",332.2
733449600,336.3,339.6,336,341.4,42630,"14,443,044",338.8
733536000,341.4,341.7,338.4,338.6,27830,"9,442,719",339.3
733622400,338.6,340.8,338.2,342.2,45730,"15,557,346",340.2
733708800,342.2,343.7,340.8,340.6,14300,"4,894,890",342.3
733968000,340.6,341.5,340,340,19070,"6,502,870",341
734054400,340,340.8,338.7,338.3,14120,"4,790,916",339.3
734140800,338.3,339.7,337.9,340.4,18040,"6,128,188",339.7
734227200,340.4,340.8,337.3,338.4,13320,"4,514,148",338.9
734572800,338.4,340.2,338,338.1,12570,"4,251,174",338.2
734659200,338.1,339.1,337.9,339.6,23480,"7,955,024",338.8
734745600,339.6,342.2,339.3,340.5,30750,"10,479,600",340.8
734832000,340.5,340.9,336,338.8,25180,"8,518,394",338.3
734918400,338.8,340.9,338.7,341.9,18290,"6,222,258",340.2
735177600,341.9,342.2,340.7,343.4,34990,"11,949,085",341.5
735264000,343.4,344.4,341,340.3,13380,"4,563,918",341.1
735350400,340.3,340.9,339.8,339.1,30690,"10,456,083",340.7
735436800,339.1,342,338.9,343.1,51630,"17,616,156",341.2
735523200,343.1,348,342.6,352.3,50190,"17,441,025",347.5
735782400,352.3,354.7,350.3,353.7,26540,"9,389,852",353.8
735868800,353.7,354,351.7,351.2,45010,"15,848,021",352.1
735955200,351.2,355.8,350.1,356.6,37790,"13,392,776",354.4
736041600,356.6,358.5,355.6,353,42810,"15,300,294",357.4
736128000,353,357.7,352.5,358.8,32670,"11,669,724",357.2
736387200,358.8,360.1,355.2,355.3,32380,"11,504,614",355.3
736473600,355.3,358.3,354.3,357.5,23800,"8,465,660",355.7
736560000,357.5,358.9,354.6,356.1,27470,"9,765,585",355.5
736646400,356.1,358.5,355.8,359.1,32410,"11,612,503",358.3
736732800,359.1,360.6,356,357.4,20300,"7,255,220",357.4
736992000,357.4,358.7,356.8,356.2,28930,"10,333,796",357.2
737078400,356.2,358.3,356,357.6,37460,"13,384,458",357.3
737164800,357.6,362.5,356.7,368.5,65620,"23,741,316",361.8
737251200,368.5,373,367.3,367.4,28910,"10,676,463",369.3
737337600,367.4,370.1,366.7,369.2,32490,"11,966,067",368.3
737596800,369.2,370.5,367.5,367.9,57210,"21,053,280",368
737683200,367.9,376.5,367,382.5,72880,"27,402,880",376
